id_client,category,price,state_name,gender
37,Electronics,"72,93",ND,Genderqueer
38,Jewelry,"121,89",PA,Male
39,Baby,"64,3",MA,Female
40,Outdoors,"9,48",OR,Female
5,Outdoors,"61,95",MN,Female
6,Outdoors,"15,96",VA,Male
7,Beauty,"149,02",CO,Male
8,Games,"97,38",TX,Male
9,Outdoors,"139,96",PA,Female
10,Shoes,"55,45",CA,Female
11,Jewelry,"96,16",NC,Female
12,Computers,"104,93",CA,Female
13,Baby,"92,52",TX,Genderfluid
14,Grocery,"108,42",TX,Male
15,Shoes,"144,17",DC,Female
16,Computers,"5,45",TX,Male
17,Sports,"5,12",VA,Female
18,Games,"29,3",OH,Female
19,Toys,"9,34",MD,Male
20,Music,"94,53",LA,Genderfluid
21,Computers,"16,72",LA,Female
22,Tools,"32,56",LA,Female
23,Beauty,"6,84",FL,Female
24,Grocery,"10,44",GA,Female
25,Clothing,"85,65",LA,Male
26,Industrial,"133,3",LA,Female
27,Baby,"69,98",TX,Male
28,Jewelry,"48,58",MI,Female
29,Home,"142,53",MI,Male
30,Industrial,"99,03",OH,Female
31,Toys,"87,62",NE,Male
32,Home,"141,11",CA,Male
33,Books,"68,77",FL,Male
34,Home,"15,12",WA,Male
35,Movies,"96,45",VA,Male
36,Health,"123,38",TX,Male
37,Home,"58,77",ND,Genderqueer
38,Clothing,"117,56",PA,Male
39,Clothing,"134,15",MA,Female
40,Jewelry,"53,63",OR,Female
41,Books,"82,78",MS,Male
42,Movies,"132,11",CA,Female
43,Computers,"59,74",TX,Male
44,Automotive,"105,26",CA,Non-binary
45,Shoes,"53,56",FL,Female
46,Tools,"136,53",PA,Female
47,Industrial,"106,66",AZ,Female
48,Health,"93,46",MS,Genderfluid
49,Books,"147,63",NY,Male
50,Kids,"145,58",NV,Male
51,Shoes,"81,44",NY,Female
52,Health,"64,7",OR,Female
53,Beauty,"60,66",DC,Polygender
54,Industrial,"9,11",WV,Agender
55,Industrial,"100,62",TX,Female
56,Books,"132,4",MO,Male
57,Kids,"60,75",MA,Non-binary
58,Toys,"10,73",NV,Female
59,Music,"90,98",NY,Female
60,Movies,"95,97",CA,Male
61,Kids,"54,04",CA,Female
62,Grocery,97,CA,Male
63,Beauty,"45,49",AR,Female
64,Health,"99,37",SD,Female
65,Games,"26,75",CA,Male
66,Shoes,"85,94",LA,Male
67,Jewelry,"17,25",KY,Male
68,Games,"49,82",OR,Bigender
69,Toys,"88,43",CA,Female
70,Tools,"23,53",PA,Male
71,Kids,"55,81",CA,Female
72,Computers,"96,65",TX,Female
73,Outdoors,"64,76",DC,Genderfluid
74,Shoes,"61,25",NE,Male
75,Movies,"141,32",LA,Female
76,Shoes,"98,09",TX,Male
77,Home,"95,54",CT,Female
78,Health,"53,12",DC,Female
79,Computers,"64,61",FL,Female
1,Outdoors,"16,97",TX,Male
2,Grocery,"143,39",MI,Male
3,Music,"37,64",AL,Male
4,Jewelry,"8,51",IL,Male
5,Grocery,"28,42",MN,Female
85,Kids,"139,38",DC,Female
86,Shoes,"123,66",FL,Female
87,Books,"66,68",ID,Male
88,Tools,"23,51",CA,Female
89,Baby,"81,13",TX,Female
90,Clothing,"66,53",FL,Male
91,Music,"86,24",FL,Male
92,Industrial,"45,48",IN,Male
93,Outdoors,"79,53",VA,Genderqueer
94,Health,"92,86",CA,Female
95,Electronics,"125,29",IL,Female
96,Baby,"18,69",OH,Female
97,Movies,"136,95",AL,Male
98,Games,"114,69",PA,Male
99,Clothing,"104,06",CA,Female
100,Games,"146,54",AL,Agender
101,Sports,"148,59",CA,Female
102,Games,"25,12",NY,Male
103,Kids,"33,69",NY,Male
104,Electronics,"25,48",MN,Male
105,Outdoors,"45,72",TX,Female
106,Outdoors,"97,85",IN,Male
107,Tools,"11,64",WA,Male
108,Music,"39,52",NC,Female
109,Garden,"128,48",OH,Male
110,Computers,"54,2",TX,Genderfluid
111,Beauty,"3,45",VA,Female
112,Jewelry,"99,85",TX,Genderqueer
113,Music,"65,25",DC,Male
114,Movies,"12,17",IN,Female
115,Tools,"32,57",AZ,Female
116,Industrial,"42,22",CA,Non-binary
117,Beauty,"125,24",GA,Female
118,Beauty,"70,14",IL,Male
119,Baby,"134,09",NC,Male
120,Health,"67,75",NY,Male
121,Industrial,"105,17",OH,Female
122,Home,"99,16",KS,Female
123,Beauty,"96,87",VA,Male
124,Toys,"29,08",DC,Female
125,Movies,"148,07",CA,Female
126,Kids,"0,51",NJ,Male
127,Industrial,"63,15",MI,Male
128,Music,"137,43",NY,Male
129,Electronics,"100,18",LA,Female
112,Kids,"9,12",TX,Genderqueer
113,Electronics,"8,23",DC,Male
114,Home,"19,31",IN,Female
115,Automotive,"130,2",AZ,Female
116,Baby,"114,29",CA,Non-binary
117,Baby,"69,25",GA,Female
118,Kids,"50,04",IL,Male
137,Baby,"15,52",IN,Agender
138,Industrial,"29,28",OR,Male
139,Tools,"31,04",MA,Female
140,Baby,"2,58",PA,Female
141,Beauty,"119,12",OH,Male
142,Health,"138,62",TX,Male
143,Games,"101,05",CA,Female
144,Grocery,"9,42",UT,Male
145,Grocery,"64,39",NJ,Female
146,Toys,"85,19",FL,Male
147,Shoes,"38,07",MA,Female
148,Books,"116,73",ID,Female
149,Tools,"63,01",TX,Female
150,Electronics,"12,15",DC,Male
151,Garden,"101,21",KS,Male
152,Movies,"141,55",HI,Female
153,Jewelry,"138,11",TN,Male
154,Electronics,"107,81",NJ,Male
155,Beauty,"133,1",DC,Male
156,Computers,"93,13",FL,Male
157,Beauty,"59,81",TX,Female
158,Clothing,"144,9",IL,Genderfluid
159,Electronics,"83,75",PA,Female
160,Toys,"62,04",IL,Female
161,Music,"104,63",NC,Male
162,Kids,"24,71",DC,Female
163,Beauty,"118,07",MD,Female
164,Tools,"62,7",VA,Female
165,Outdoors,"1,72",AL,Male
166,Electronics,"114,02",IN,Male
167,Electronics,"135,37",KS,Male
168,Industrial,"17,52",TX,Male
169,Sports,"5,84",AL,Female
170,Music,"138,49",NY,Female
171,Books,"35,85",UT,Male
172,Automotive,"130,08",DC,Agender
173,Kids,"28,38",NY,Male
174,Sports,"36,35",OK,Male
175,Kids,"141,71",OR,Female
176,Home,"15,42",not specified,unknown
177,Beauty,"48,98",not specified,unknown
178,Baby,"143,16",not specified,unknown
179,Games,"63,4",not specified,unknown
180,Music,"40,5",not specified,unknown
181,Sports,"22,1",not specified,unknown
182,Tools,"139,85",not specified,unknown
183,Movies,"56,22",not specified,unknown
184,Beauty,"3,01",not specified,unknown
185,Music,"32,31",not specified,unknown
186,Jewelry,"143,78",not specified,unknown
187,Baby,14,not specified,unknown
188,Shoes,"37,69",not specified,unknown
189,Sports,"126,99",not specified,unknown
190,Outdoors,"90,35",not specified,unknown
191,Outdoors,"145,23",not specified,unknown
192,Industrial,"76,81",not specified,unknown
193,Garden,"139,49",not specified,unknown
194,Music,"62,52",not specified,unknown
195,Tools,"88,32",not specified,unknown
196,Grocery,"0,05",not specified,unknown
197,Music,"7,86",not specified,unknown
198,Computers,"47,01",not specified,unknown
199,Health,"78,65",not specified,unknown
